"id_commande";"commande_date";"total_HT";"total_TTC";"commande_status";"id_client"
"1";"2022-07-05";"0.00";"0.00";"livrées";"5"
"2";"2022-01-12";"0.00";"0.00";"en cours";"6"
"3";"2022-11-10";"100.00";"120.00";"en cours";"15"
"4";"2022-12-02";"690.00";"828.00";"en cours";"16"
"5";"2021-05-09";"216.00";"259.20";"en cours";"10"
"6";"2022-10-29";"153.00";"183.60";"en cours";"4"
"7";"2021-05-09";"0.00";"0.00";"en cours";"9"
"8";"2022-08-18";"523.00";"627.60";"en cours";"13"
"9";"2022-12-02";"380.00";"456.00";"en cours";"19"
"10";"2022-10-11";"418.00";"501.60";"livrées";"3"
"11";"2022-06-10";"0.00";"0.00";"livrées";"12"
"12";"2021-03-03";"192.00";"230.40";"livrées";"7"
"13";"2022-05-05";"189.00";"226.80";"livrées";"2"
"14";"2021-03-03";"42.00";"50.40";"livrées";"1"
"15";"2022-04-07";"0.00";"0.00";"livrées";"14"
"16";"2022-06-01";"187.00";"224.40";"livrées";"10"
"17";"2022-02-02";"0.00";"0.00";"livrées";"7"
"18";"2022-11-09";"162.00";"194.40";"livrées";"5"
"19";"2022-05-04";"0.00";"0.00";"livrées";"18"
"20";"2022-06-12";"0.00";"0.00";"livrées";"13"
"21";"2021-10-04";"0.00";"0.00";"livrées";"2"
"22";"2023-07-03";"0.00";"0.00";"expediée";"19"
"23";"2021-11-05";"249.00";"298.80";"expediée";"1"
"24";"2022-04-07";"120.00";"144.00";"expediée";"10"
"25";"2022-10-11";"222.00";"266.40";"livrées";"16"
"26";"2022-08-15";"0.00";"0.00";"annulée";"14"
"27";"2023-05-02";"0.00";"0.00";"annulée";"6"
"28";"2021-12-08";"334.00";"400.80";"annulée";"11"
"29";"2021-10-11";"75.00";"90.00";"annulée";"9"
"30";"2022-01-30";"0.00";"0.00";"annulée";"8"
"31";"0000-00-00";"0.00";"0.00";"annulée";NULL
